MeSH Code,UMLS Code
D006312,C3665473
D003639,C1148477
D014012,C0751557
D007759,C0022890
D008575,C1527320
D007762,C0022893
D010031,C0699744
D010033,C0029882
D008417,C0024904
D010034,C0029883
D020274,C5671289
D002549,C0007795
D004673,C0014059
D004684,C0014077
D011129,C0032587
D020275,C3542501
D019846,C0393799
D009477,C0699739
D020277,C0393819
D014607,C0042170
D020293,C0018202
D020945,C0752332
D000270,C0001519
D006732,C0751203
D012791,C0037019
D054971,C1535893
D000405,C0001889
D020145,C1956233
D009459,C0027849
D020734,C0752097
D010302,C0030569
D020267,C0270730
D018458,C0917808
D001926,C0006110
D001928,C0006112
D020739,C0752107
D005693,C0751161
D007966,C2713319
D020158,C0751748
D007888,C0751267
D006009,C0342751
D000795,C0002986
D016537,C0085131
D007706,C0022716
D054078,C0342731
D010661,C0031485
D017590,C0393667
D001929,C0006114
D020202,C0751801
D020833,C0752219
D011007,C0032268
D002526,C0007760
D020754,C0752120
D013132,C0393519
D020520,C0393953
D020244,C0740376
D020925,C0752304
D020215,C0751815
D016893,C0007282
D020217,C0338586
D046589,C0751587
D002532,C0917996
D002538,C0007772
D002542,C0877855
D020766,C0007780
D020767,C0752143
D012851,C0751500
