MeSH Code,UMLS Code
D009120,C0026821
D003919,C0011848
D005094,C0015300
D003248,C1257861
D008286,C0024523
D003874,C0011608
D000172,C0001206
D010243,C0234544
D013035,C0235229
D008580,C0025287
D008060,C0023787
D006973,C0020538
D045602,C0038238
D005183,C0015544
D003702,C0011253
D011595,C3887612
D006212,C0544668
D000419,C0001925
D050197,C1563937
D059445,C3178803
D003456,C0431664
D006042,C0018021
D011693,C0034150
D055154,C0454545
D004172,C0271186
D004830,C0014549
D005483,C0016382
D047688,C0006144
D012893,C0751508
D006209,C0018520
D003704,C0497327
D002100,C0006625
D009440,C0027804
D012021,C0277850
D049970,C1563709
D007172,C0242350
D019964,C0525045
D000799,C0002994
D052878,C0451641
D003865,C1571984
D006628,C0019572
D014012,C0751557
D006970,C0917799
D059350,C3178789
D006429,C0392550
D006319,C0018784
D000857,C0553757
D007246,C4074771
D004392,C0013336
D019080,C0221263
D002819,C0393584
D033461,C0740394
D004421,C0013421
D000138,C0001122
D006943,C1855520
D006029,C0017979
D019226,C0149745
D008310,C0242385
D006554,C1306503
D001764,C0005747
D009506,C0027960
D010259,C1456784
D012001,C0034880
D017180,C0030590
D012913,C0037384
D001763,C0005745
D002385,C0007384
D005242,C0015732
D013375,C0086189
D050723,C0332712
D020734,C0752097
D001249,C0004096
D007383,C0021775
D014313,C0343495
D008844,C0025990
D008595,C0025323
D000052,C0000889
D000568,C0032796
D002779,C0008370
D014987,C0043352
D018476,C0233565
D009886,C0339693
D011695,C0034152
D000140,C0001125
D013746,C0917812
D001002,C0003460
D006985,C0020578
D009846,C0028961
D009508,C0027962
D001049,C0003578
D001039,C0454573
D001041,C0454575
D013163,C0038002
D006963,C0020505
D001037,C0234482
D004406,C0013374
D008548,C0025209
D013471,C0038814
D000094482,C0263334
